Company,Position,Location,URL
사회정보연구원,Python  인공지능(AI) 외 신입/경력의 전체 세부 정보,('서울 은평구', {'https://kr.indeed.com//rc/clk?jk=b7fad584859458e4&bb=WfKk8hAhcTUop6JhMKMW28raa_SFr7OPh3bcX9OSTWdFzuGdY81zw9NB_XXSutfT&xkcb=SoAD67M3HhZGSSxgxx0LbzkdCdPP&fccid=8da9b3751cf2e16c&vjs=3'})
지엔에이컴퍼니,Python 백엔드 개발의 전체 세부 정보,('서울 서초구', {'https://kr.indeed.com//rc/clk?jk=e83e5c66a3495043&bb=PtG3yqgoKpxhdyEA5BoniySHdqjfj-H2X6kbWYg0ZsxZyYmtb8q_qQZpifE0IW3z&xkcb=SoCe67M3HhZGSdRgxx0KbzkdCdPP&fccid=61c10ba9583776b5&vjs=3'})
아토머스,파이썬(python) 백엔드 개발자의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=7e8499c0e2fe4afb&bb=PtG3yqgoKpzPrzswTA65K38RDWx5Q9ZDBt7eZWgjiH9UPcW9v3Pc7dpJ3SMPzl5J&xkcb=SoC367M3HhZGSdRgxx0IbzkdCdPP&fccid=660bbb21789ab63d&vjs=3'})
모빌테크,C/C++  Python 개발자 (보충역)의 전체 세부 정보,('서울 서초구', {'https://kr.indeed.com//rc/clk?jk=af50d52066bfd50c&bb=LOvOBif_Qi17tMcX60gz-ZrqCEMRuu2CH-nE4t4mIFapQzVYWQa59Ts0Urmn_yMs&xkcb=SoBv67M3HhZGSdxgxx0LbzkdCdPP&fccid=b5cf24921581ae1e&vjs=3'})
어니컴,데이터분석가 신입/경력의 전체 세부 정보,('서울 용산구', {'https://kr.indeed.com//rc/clk?jk=d4fe66a66e4604ae&bb=LOvOBif_Qi1SQnRSuaMysT46UQKuopAwPREZO8t_dRYModlWPeaw8Kot0IcNu2CQ&xkcb=SoBG67M3HhZGSdxgxx0JbzkdCdPP&fccid=5c6ed722e9346a08&vjs=3'})
아인사이트,의료데이터 및 인공지능(AI) 개발 Python 전문가 경력의 전체 세부 정보,('서울', {'https://kr.indeed.com//rc/clk?jk=c615cf8338e08161&bb=LOvOBif_Qi3rqBj_Cudj1-4OWi4QaPco9M2NbwtFtL197ouHlV_9qJF9PKZQEBhL&xkcb=SoDI67M3HhZGSdxgxx0ObzkdCdPP&fccid=7744f604a0427c87&vjs=3'})
메디픽셀,Python application & Algorithm 개발자의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=5863f8f64ab04c1d&bb=HyWl3sUF5UZadPPmPlKYPg76EwyyEeGkXLZtgPyZbj2zBBmkBk2fJH9DMDMZqa71&xkcb=SoBV67M3HhZGScRgxx0KbzkdCdPP&fccid=aba88c202493b8a5&vjs=3'})
마인드에이아이,Python Backend Engineer의 전체 세부 정보,('서울 중구', {'https://kr.indeed.com//rc/clk?jk=1d18acbd074015a7&bb=HyWl3sUF5UZOOE-IxQnAiLsRD_EKPqmNeSEWHITByUlJE-gQxuWXFwvAqqVgZ9yh&xkcb=SoB867M3HhZGScRgxx0IbzkdCdPP&fccid=6e36b32060404d12&vjs=3'})
현대오토에버,[AI] AI Researcher의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=74f5a02de0e62acf&bb=HyWl3sUF5Uatw6fMNOiNPjI3GG3sOBpuR3MPB3aGneB2MPepMMmsM6G-VGjwLYjw&xkcb=SoBG67M3HhZGScRgxx0ObzkdCdPP&fccid=d5a22a3e93377742&vjs=3'})
뉴로핏,영상 기반 AI 연구원의 전체 세부 정보,('서울 강남구', {'https://kr.indeed.com//rc/clk?jk=10785454113365b0&bb=9qzx5iel1x6dNfLChyyoXcvA3BnidHG_CPDk7pIRE7Qbq4kkcgvk6ZfYklu_zO3i&xkcb=SoCN67M3HhZGScxgxx0JbzkdCdPP&fccid=23cbc8f59060f439&vjs=3'})
